Symbol,Quantity,Price,ActionNameUS,TradeDate,SettledDate,Interest,Amount,Commission,Fees,CUSIP,Description,TradeNumber,RecordType
AGNC,0.0000,0.0,Dividend,7/7/2017,,0.00,2.16,0.0000,0.0000,00123Q104,AGNC INVT CORP REIT DIVIDEND ON 12 SHARES OF AGNC @ .18000,,Financial
CTL,0.0000,0.0,Dividend,6/16/2017,,0.00,4.32,0.0000,0.0000,156700106,CENTURYLINK INC DIVIDEND ON 8 SHARES OF CTL @ .54000,,Financial
AGNC,0.0000,0.0,Dividend,6/8/2017,,0.00,2.16,0.0000,0.0000,00123Q104,AGNC INVT CORP REIT DIVIDEND ON 12 SHARES OF AGNC @ .18000,,Financial
AGNC,0.0000,0.0,Dividend,5/8/2017,,0.00,2.16,0.0000,0.0000,00123Q104,AGNC INVT CORP REIT DIVIDEND ON 12 SHARES OF AGNC @ .18000,,Financial
IVR,0.0000,0.0,Dividend,4/26/2017,,0.00,2.00,0.0000,0.0000,46131B100,INVESCO MORTGAGE CAPITAL INC DIVIDEND ON 5 SHARES OF IVR @ .40000,,Financial
POR,0.0000,0.0,Dividend,4/17/2017,,0.00,0.64,0.0000,0.0000,736508847,PORTLAND GENERAL ELE DIVIDEND ON 2 SHARES OF POR @ .32000,,Financial
AGNC,0.0000,0.0,Dividend,4/7/2017,,0.00,2.16,0.0000,0.0000,00123Q104,AGNC INVT CORP REIT DIVIDEND ON 12 SHARES OF AGNC @ .18000,,Financial
CTL,0.0000,0.0,Dividend,3/17/2017,,0.00,4.32,0.0000,0.0000,156700106,CENTURYLINK INC DIVIDEND ON 8 SHARES OF CTL @ .54000,,Financial
AGNC,0.0000,0.0,Dividend,3/8/2017,,0.00,2.16,0.0000,0.0000,00123Q104,AGNC INVT CORP REIT DIVIDEND ON 12 SHARES OF AGNC @ .18000,,Financial
POR,2.0000,44.78,Buy,2/27/2017,3/2/2017,0.00,-96.56,-7.0000,0.0000,736508847,Bought 2 Shares of POR at $44.78,60000,Trade
CTL,8.0000,24.57,Buy,2/27/2017,3/2/2017,0.00,-203.56,-7.0000,0.0000,156700106,Bought 8 Shares of CTL at $24.57,60000,Trade
AGNC,5.0000,19.55,Buy,2/21/2017,2/24/2017,0.00,-104.75,-7.0000,0.0000,00123Q104,Bought 5 Shares of AGNC at $19.55,50000,Trade
RSO,-4.0000,8.59,Sell,2/21/2017,2/24/2017,0.00,27.36,-7.0000,0.0000,76120W708,Sold 4 Shares of RSO at $8.59,60000,Trade
AGNC,0.0000,0.0,Dividend,2/8/2017,,0.00,1.26,0.0000,0.0000,00123Q104,AGNC INVT CORP REIT DIVIDEND ON 7 SHARES OF AGNC @ .18000,,Financial
RSO,0.0000,0.0,Dividend,1/27/2017,,0.00,0.20,0.0000,0.0000,76120W708,RESOURCE CAP CORP REIT DIVIDEND ON 4 SHARES OF RSO @ .05000,,Financial
IVR,0.0000,0.0,Dividend,1/26/2017,,0.00,2.00,0.0000,0.0000,46131B100,INVESCO MORTGAGE CAPITAL INC DIVIDEND ON 5 SHARES OF IVR @ .40000,,Financial
